"emp_no","first_name","last_name","title","from_date","to_date","order"
19758,"Rildo","Birdsall","Engineer","1985-04-26","1990-04-26",NULL
19758,"Rildo","Birdsall","Senior Engineer","1990-04-26","9999-01-01",NULL
19766,"Saeed","Munke","Senior Staff","1994-10-22","9999-01-01",NULL
19766,"Saeed","Munke","Staff","1985-10-22","1994-10-22",NULL
19771,"Aral","Katalagarianos","Staff","1997-07-06","9999-01-01",NULL
19777,"Halsur","Ferretti","Senior Staff","1997-03-14","9999-01-01",NULL
19777,"Halsur","Ferretti","Staff","1991-03-15","1997-03-14",NULL
19791,"Kankanahalli","Azulay","Engineer","1990-12-08","1996-12-07",NULL
19791,"Kankanahalli","Azulay","Senior Engineer","1996-12-07","9999-01-01",NULL
19804,"Tamiya","Benzmuller","Staff","1998-03-06","9999-01-01",NULL
19814,"Subhrajyoti","Rosaz","Senior Staff","2001-06-13","9999-01-01",NULL
19814,"Subhrajyoti","Rosaz","Staff","1992-06-13","2001-06-13",NULL
19826,"Fox","Christ","Senior Staff","1985-05-08","9999-01-01",NULL
19828,"Dannz","Maliniak","Engineer","1985-06-06","1992-06-06",NULL
19828,"Dannz","Maliniak","Senior Engineer","1992-06-06","9999-01-01",NULL
19839,"Tadahiro","Hempstead","Engineer","1990-02-13","1999-02-13",NULL
19839,"Tadahiro","Hempstead","Senior Engineer","1999-02-13","9999-01-01",NULL
19841,"Adil","Straney","Staff","1996-04-12","9999-01-01",NULL
19843,"Mohamadou","Peir","Staff","1998-06-28","9999-01-01",NULL
19849,"Weicheng","Serre","Staff","1997-11-19","9999-01-01",NULL
19874,"Xuejia","Kuzuoka","Senior Staff","1996-02-04","9999-01-01",NULL
19874,"Xuejia","Kuzuoka","Staff","1988-02-04","1996-02-04",NULL
19882,"Thanasis","Demri","Senior Staff","1995-10-26","9999-01-01",NULL
19882,"Thanasis","Demri","Staff","1988-10-25","1995-10-26",NULL
19901,"Tsvetan","Stasinski","Senior Staff","1985-02-27","9999-01-01",NULL
19904,"Mototsugu","Rosenbaum","Assistant Engineer","1990-05-24","1998-05-24",NULL
19904,"Mototsugu","Rosenbaum","Engineer","1998-05-24","9999-01-01",NULL
19933,"Taizo","Bharadwaj","Senior Staff","1991-11-03","9999-01-01",NULL
19933,"Taizo","Bharadwaj","Staff","1986-11-03","1991-11-03",NULL
19940,"Reinhard","Einsfeld","Senior Staff","1993-06-13","9999-01-01",NULL
19940,"Reinhard","Einsfeld","Staff","1987-06-14","1993-06-13",NULL
19943,"Shimshon","Schoegge","Technique Leader","1985-10-03","9999-01-01",NULL
19946,"Owen","Levasseur","Staff","1996-05-11","9999-01-01",NULL
19950,"Jaroslava","Kusakari","Engineer","1985-04-14","1993-04-14",NULL
19950,"Jaroslava","Kusakari","Senior Engineer","1993-04-14","9999-01-01",NULL
19955,"IEEE","Conry","Senior Staff","1991-12-08","9999-01-01",NULL
19955,"IEEE","Conry","Staff","1986-12-08","1991-12-08",NULL
19975,"Mabry","Geffroy","Engineer","1991-02-16","1997-02-15",NULL
19975,"Mabry","Geffroy","Senior Engineer","1997-02-15","9999-01-01",NULL
19982,"Khatoun","Baba","Engineer","1986-09-15","1991-09-15",NULL
19982,"Khatoun","Baba","Senior Engineer","1991-09-15","9999-01-01",NULL
19984,"Zhonghui","Taubenfeld","Engineer","1988-10-22","1995-10-23",NULL
19984,"Zhonghui","Taubenfeld","Senior Engineer","1995-10-23","9999-01-01",NULL
19996,"Berni","Chinen","Senior Engineer","1999-12-14","9999-01-01",NULL
20006,"Geoff","Birnbaum","Engineer","1988-05-04","1993-05-04",NULL
20006,"Geoff","Birnbaum","Senior Engineer","1993-05-04","9999-01-01",NULL
20013,"Jaewoo","Lanphier","Engineer","1985-03-17","1991-03-17",NULL
20013,"Jaewoo","Lanphier","Senior Engineer","1991-03-17","9999-01-01",NULL
20022,"Felicidad","Bellone","Engineer","1996-01-15","9999-01-01",NULL
20024,"Martine","Kambil","Engineer","1989-02-05","1997-02-05",NULL
20024,"Martine","Kambil","Senior Engineer","1997-02-05","9999-01-01",NULL
20037,"Tse","VanScheik","Engineer","1994-07-14","1999-07-14",NULL
20037,"Tse","VanScheik","Senior Engineer","1999-07-14","9999-01-01",NULL
20039,"Udo","Harbusch","Senior Staff","1996-03-11","9999-01-01",NULL
20039,"Udo","Harbusch","Staff","1990-03-12","1996-03-11",NULL
20042,"Margareta","Munck","Senior Staff","1987-03-23","9999-01-01",NULL
20043,"Chikara","Adachi","Engineer","1985-03-21","1990-03-21",NULL
20043,"Chikara","Adachi","Senior Engineer","1990-03-21","9999-01-01",NULL
20055,"Hairong","Swiss","Senior Staff","1985-04-26","9999-01-01",NULL
20059,"Pranay","Panwar","Technique Leader","1997-11-05","9999-01-01",NULL
20060,"Chrisa","Attimonelli","Engineer","1986-03-28","1991-03-28",NULL
20060,"Chrisa","Attimonelli","Senior Engineer","1991-03-28","9999-01-01",NULL
20063,"Guttorm","Carrere","Senior Staff","1997-03-09","9999-01-01",NULL
20063,"Guttorm","Carrere","Staff","1989-03-09","1997-03-09",NULL
20065,"Mana","Onuegbe","Staff","1997-12-03","9999-01-01",NULL
20068,"Masali","Rouquie","Engineer","1985-04-11","1990-04-11",NULL
20068,"Masali","Rouquie","Senior Engineer","1990-04-11","9999-01-01",NULL
20069,"Guenter","Huhdanpaa","Senior Staff","1997-12-08","9999-01-01",NULL
20069,"Guenter","Huhdanpaa","Staff","1988-12-08","1997-12-08",NULL
20075,"Mikhail","Oberman","Engineer","1985-10-05","1993-10-05",NULL
20075,"Mikhail","Oberman","Senior Engineer","1993-10-05","9999-01-01",NULL
20091,"Janalee","Bach","Senior Staff","1996-05-12","9999-01-01",NULL
20091,"Janalee","Bach","Staff","1987-05-13","1996-05-12",NULL
20117,"Yoshimitsu","Hanabata","Engineer","1988-02-24","1995-02-24",NULL
20117,"Yoshimitsu","Hanabata","Senior Engineer","1995-02-24","9999-01-01",NULL
20119,"Josyula","Shigei","Technique Leader","1994-02-27","9999-01-01",NULL
20121,"Oldrich","Bazelow","Staff","1997-11-14","9999-01-01",NULL
20148,"Ibibia","Polupanov","Senior Staff","1995-06-03","9999-01-01",NULL
20148,"Ibibia","Polupanov","Staff","1988-06-02","1995-06-03",NULL
20159,"Isamu","Valiente","Technique Leader","1996-07-04","9999-01-01",NULL
20169,"Gil","Zuberek","Engineer","1994-05-05","2000-05-04",NULL
20169,"Gil","Zuberek","Senior Engineer","2000-05-04","9999-01-01",NULL
20170,"Emdad","Himler","Senior Staff","1995-10-29","9999-01-01",NULL
20170,"Emdad","Himler","Staff","1986-10-29","1995-10-29",NULL
20171,"Kazuhira","Murtha","Engineer","1990-06-02","1997-06-02",NULL
20171,"Kazuhira","Murtha","Senior Engineer","1997-06-02","9999-01-01",NULL
20181,"Thodoros","Wegerle","Staff","1999-09-29","9999-01-01",NULL
20186,"Jianhua","Narahari","Senior Engineer","1991-09-12","9999-01-01",NULL
20189,"Mark","Nanard","Engineer","1986-08-28","1991-08-28",NULL
20189,"Mark","Nanard","Senior Engineer","1991-08-28","9999-01-01",NULL
20218,"Ioana","Gihr","Engineer","1988-04-19","1995-04-20",NULL
20218,"Ioana","Gihr","Senior Engineer","1995-04-20","9999-01-01",NULL
20222,"Baziley","Rettelbach","Senior Staff","1997-04-03","9999-01-01",NULL
20245,"Halsur","Fujisawa","Senior Engineer","1990-07-31","9999-01-01",NULL
20251,"Cristinel","Unno","Engineer","1998-04-17","9999-01-01",NULL
20259,"Yannik","Bratten","Senior Engineer","1988-10-18","9999-01-01",NULL
20265,"Amalendu","Willoner","Engineer","1986-09-04","1993-09-04",NULL
20265,"Amalendu","Willoner","Senior Engineer","1993-09-04","9999-01-01",NULL
20266,"Ekawit","Kakkad","Senior Staff","1988-08-14","9999-01-01",NULL
20284,"Monique","Parascandalo","Senior Engineer","1987-03-01","9999-01-01",NULL
20305,"Gou","Birnbaum","Senior Staff","1988-10-11","9999-01-01",NULL
20316,"Kellie","Krybus","Senior Staff","1999-03-29","9999-01-01",NULL
20316,"Kellie","Krybus","Staff","1993-03-29","1999-03-29",NULL
20325,"Katsuyuki","England","Senior Staff","1996-06-14","9999-01-01",NULL
20325,"Katsuyuki","England","Staff","1988-06-14","1996-06-14",NULL
20334,"Miquel","Frijda","Technique Leader","1988-03-09","9999-01-01",NULL
20336,"Magy","Wolniewicz","Engineer","1999-12-22","9999-01-01",NULL
20339,"Masami","Jumpertz","Engineer","1991-09-23","1997-09-22",NULL
20339,"Masami","Jumpertz","Senior Engineer","1997-09-22","9999-01-01",NULL
20346,"Jeong","Antonakopoulos","Senior Engineer","1987-08-13","9999-01-01",NULL
20358,"Arve","Peir","Senior Engineer","1993-02-02","9999-01-01",NULL
20367,"Bernt","Takanami","Engineer","1992-07-06","1997-07-06",NULL
20367,"Bernt","Takanami","Senior Engineer","1997-07-06","9999-01-01",NULL
20368,"Denis","Samarati","Senior Staff","1985-03-11","9999-01-01",NULL
20392,"Terresa","Sidje","Senior Engineer","1986-07-25","9999-01-01",NULL
20402,"Szabolcs","Shrader","Engineer","1989-05-18","1997-05-18",NULL
20402,"Szabolcs","Shrader","Senior Engineer","1997-05-18","9999-01-01",NULL
20403,"Rildo","Reinhard","Engineer","1993-08-23","9999-01-01",NULL
20407,"Pranas","Genther","Senior Engineer","1996-09-13","9999-01-01",NULL
20408,"Debatosh","Smailagic","Engineer","1988-04-03","1995-04-04",NULL
20408,"Debatosh","Smailagic","Senior Engineer","1995-04-04","9999-01-01",NULL
20425,"True","Schapiro","Staff","1998-12-27","9999-01-01",NULL
20435,"Oguz","Homond","Senior Staff","1993-06-06","9999-01-01",NULL
20435,"Oguz","Homond","Staff","1988-06-06","1993-06-06",NULL
20436,"Rasiah","Kavraki","Senior Staff","1998-12-03","9999-01-01",NULL
20436,"Rasiah","Kavraki","Staff","1989-12-03","1998-12-03",NULL
20450,"Abdelwaheb","Binkley","Engineer","1987-11-09","1995-11-09",NULL
20450,"Abdelwaheb","Binkley","Senior Engineer","1995-11-09","9999-01-01",NULL
20454,"Nidapan","Gunderson","Senior Engineer","1994-11-26","9999-01-01",NULL
20456,"Sigeru","Highland","Engineer","1997-08-16","9999-01-01",NULL
20489,"Boguslaw","Garrabrants","Engineer","1985-10-22","1994-10-22",NULL
20489,"Boguslaw","Garrabrants","Senior Engineer","1994-10-22","9999-01-01",NULL
20490,"Soenke","Douceur","Senior Staff","1988-05-26","9999-01-01",NULL
20494,"Lucien","Pagter","Senior Staff","1990-10-23","9999-01-01",NULL
20494,"Lucien","Pagter","Staff","1985-10-23","1990-10-23",NULL
20498,"Suvo","Gini","Engineer","1988-12-26","1995-12-27",NULL
20498,"Suvo","Gini","Senior Engineer","1995-12-27","9999-01-01",NULL
20528,"Dines","Bednarek","Senior Staff","1994-06-04","9999-01-01",NULL
20528,"Dines","Bednarek","Staff","1985-06-04","1994-06-04",NULL
20530,"Nevio","Katiyar","Engineer","1994-11-15","1999-11-15",NULL
20530,"Nevio","Katiyar","Senior Engineer","1999-11-15","9999-01-01",NULL
20534,"Rosita","Kalloufi","Senior Staff","1999-03-09","9999-01-01",NULL
20534,"Rosita","Kalloufi","Staff","1993-03-09","1999-03-09",NULL
20545,"Woody","Chaudhury","Senior Staff","1993-06-16","9999-01-01",NULL
20545,"Woody","Chaudhury","Staff","1987-06-17","1993-06-16",NULL
20548,"Edwin","Bugrara","Senior Staff","1992-09-09","9999-01-01",NULL
20548,"Edwin","Bugrara","Staff","1986-09-10","1992-09-09",NULL
20550,"Koichi","Kabayashi","Technique Leader","1986-10-17","9999-01-01",NULL
20558,"Toong","Panangaden","Senior Staff","2002-07-07","9999-01-01",NULL
20558,"Toong","Panangaden","Staff","1997-07-07","2002-07-07",NULL
20585,"Bernd","Butterworth","Engineer","1987-11-06","1994-11-06",NULL
20585,"Bernd","Butterworth","Senior Engineer","1994-11-06","9999-01-01",NULL
20586,"Akeel","Clouatre","Engineer","1988-03-07","1995-03-08",NULL
20586,"Akeel","Clouatre","Senior Engineer","1995-03-08","9999-01-01",NULL
20602,"Martins","Dratva","Engineer","1996-08-14","9999-01-01",NULL
20606,"Marjo","Speer","Senior Staff","1993-05-09","9999-01-01",NULL
20606,"Marjo","Speer","Staff","1988-05-09","1993-05-09",NULL
20621,"Arumugam","Navazio","Senior Staff","1992-03-29","9999-01-01",NULL
20621,"Arumugam","Navazio","Staff","1986-03-30","1992-03-29",NULL
20624,"Xiong","Nanard","Assistant Engineer","1997-05-24","9999-01-01",NULL
20625,"Uno","Cusworth","Engineer","1997-10-22","9999-01-01",NULL
20626,"Hercules","Varman","Senior Engineer","1985-09-22","9999-01-01",NULL
20631,"Masaki","Heiserman","Technique Leader","1987-12-11","9999-01-01",NULL
20635,"Fumino","Baja","Engineer","1999-08-16","9999-01-01",NULL
20636,"Hsiangchu","Collavizza","Senior Staff","1998-01-21","9999-01-01",NULL
20636,"Hsiangchu","Collavizza","Staff","1990-01-21","1998-01-21",NULL
20651,"Alexius","Vickson","Engineer","1987-01-26","1992-01-26",NULL
20651,"Alexius","Vickson","Senior Engineer","1992-01-26","9999-01-01",NULL
20666,"Shushma","Linares","Engineer","1988-02-19","1994-02-18",NULL
20666,"Shushma","Linares","Senior Engineer","1994-02-18","9999-01-01",NULL
20674,"Maria","Avouris","Senior Staff","1992-06-07","9999-01-01",NULL
20674,"Maria","Avouris","Staff","1985-06-07","1992-06-07",NULL
20693,"Yefim","Flasterstein","Engineer","1988-11-25","1995-11-26",NULL
20693,"Yefim","Flasterstein","Senior Engineer","1995-11-26","9999-01-01",NULL
20708,"Aemilian","Arlazarov","Senior Staff","1998-03-23","9999-01-01",NULL
20708,"Aemilian","Arlazarov","Staff","1990-03-23","1998-03-23",NULL
20716,"Nikolaos","Basart","Staff","1997-09-20","9999-01-01",NULL
20728,"Billie","Sessa","Senior Staff","1995-02-18","9999-01-01",NULL
20728,"Billie","Sessa","Staff","1988-02-18","1995-02-18",NULL
20751,"Nitsan","Zyda","Senior Staff","1997-09-28","9999-01-01",NULL
20751,"Nitsan","Zyda","Staff","1990-09-28","1997-09-28",NULL
20755,"Jungsoon","Szilard","Engineer","1987-09-05","1996-09-04",NULL
20755,"Jungsoon","Szilard","Senior Engineer","1996-09-04","9999-01-01",NULL
20757,"Ingemar","Taubman","Engineer","1986-03-06","1991-03-06",NULL
20757,"Ingemar","Taubman","Senior Engineer","1991-03-06","9999-01-01",NULL
20765,"Steve","Viele","Senior Staff","1993-06-17","9999-01-01",NULL
20765,"Steve","Viele","Staff","1988-06-17","1993-06-17",NULL
20766,"Chenyi","Conry","Engineer","1996-01-10","2001-01-09",NULL
20766,"Chenyi","Conry","Senior Engineer","2001-01-09","9999-01-01",NULL
20793,"Pranav","Luft","Engineer","1994-11-19","2001-11-19",NULL
20793,"Pranav","Luft","Senior Engineer","2001-11-19","9999-01-01",NULL
20794,"Shaz","Rathonyi","Engineer","1988-11-11","1997-11-11",NULL
20794,"Shaz","Rathonyi","Senior Engineer","1997-11-11","9999-01-01",NULL
20813,"Srinidhi","Sinicrope","Senior Staff","1993-10-02","9999-01-01",NULL
20813,"Srinidhi","Sinicrope","Staff","1986-10-02","1993-10-02",NULL
20820,"Otilia","DeMori","Engineer","1990-06-02","1999-06-02",NULL
20820,"Otilia","DeMori","Senior Engineer","1999-06-02","9999-01-01",NULL
20828,"Brewster","Sewelson","Senior Staff","1990-12-06","9999-01-01",NULL
20828,"Brewster","Sewelson","Staff","1985-12-06","1990-12-06",NULL
20836,"Jingling","Alameldin","Senior Staff","1986-12-20","9999-01-01",NULL
20857,"Jinxi","Werthner","Senior Staff","1987-05-24","9999-01-01",NULL
20860,"Szabolcs","Michaels","Engineer","1985-07-19","1992-07-19",NULL
20860,"Szabolcs","Michaels","Senior Engineer","1992-07-19","9999-01-01",NULL
20881,"Duangkaew","Hainaut","Engineer","1996-02-21","9999-01-01",NULL
20903,"Yagil","Kemmerer","Senior Engineer","1985-09-21","9999-01-01",NULL
20923,"Menkae","Miara","Senior Staff","1993-08-02","9999-01-01",NULL
20923,"Menkae","Miara","Staff","1988-08-02","1993-08-02",NULL
20929,"Along","Hebden","Senior Engineer","1985-04-02","9999-01-01",NULL
20958,"Ashish","Eiron","Senior Engineer","1992-01-29","9999-01-01",NULL
20964,"Clyde","Erez","Staff","1998-08-23","9999-01-01",NULL
20965,"Tadanori","Bahl","Engineer","1986-08-06","1992-08-05",NULL
20965,"Tadanori","Bahl","Senior Engineer","1992-08-05","9999-01-01",NULL
20968,"Nimmagadda","Rijsenbrij","Technique Leader","1996-08-12","9999-01-01",NULL
20974,"Hisao","Yavatkar","Senior Staff","1992-05-20","9999-01-01",NULL
20974,"Hisao","Yavatkar","Staff","1987-05-21","1992-05-20",NULL
20979,"Pradeep","Kumaresan","Senior Staff","1994-09-30","9999-01-01",NULL
20979,"Pradeep","Kumaresan","Staff","1985-09-30","1994-09-30",NULL
20987,"Domenick","Rabejac","Senior Staff","1997-06-24","9999-01-01",NULL
20987,"Domenick","Rabejac","Staff","1991-06-25","1997-06-24",NULL
21007,"Christfried","Junet","Senior Staff","1988-02-15","9999-01-01",NULL
21011,"Demin","Zedlitz","Engineer","1995-06-30","2001-06-29",NULL
21011,"Demin","Zedlitz","Senior Engineer","2001-06-29","9999-01-01",NULL
21019,"Oksana","Brodie","Staff","1997-08-19","9999-01-01",NULL
21037,"Kensei","Casley","Senior Staff","1987-02-22","9999-01-01",NULL
21044,"Mack","Rajala","Engineer","1986-07-03","1992-07-02",NULL
21044,"Mack","Rajala","Senior Engineer","1992-07-02","9999-01-01",NULL
21054,"Saeko","Sichman","Engineer","1987-08-15","1995-08-15",NULL
21054,"Saeko","Sichman","Senior Engineer","1995-08-15","9999-01-01",NULL
21078,"Shaw","Bolotov","Engineer","1997-04-09","9999-01-01",NULL
21092,"Chikara","Montresor","Senior Engineer","1991-01-14","9999-01-01",NULL
21109,"Lech","Chenoweth","Engineer","1990-01-25","1999-01-25",NULL
21109,"Lech","Chenoweth","Senior Engineer","1999-01-25","9999-01-01",NULL
21110,"Shaowei","Solares","Senior Staff","1991-01-26","9999-01-01",NULL
21110,"Shaowei","Solares","Staff","1986-01-26","1991-01-26",NULL
21127,"Ziyad","Coorg","Senior Engineer","1988-02-24","9999-01-01",NULL
21133,"Carrsten","Brizzi","Senior Staff","1991-11-16","9999-01-01",NULL
21133,"Carrsten","Brizzi","Staff","1985-11-16","1991-11-16",NULL
21138,"Niteen","Haraldson","Staff","1995-04-15","9999-01-01",NULL
21143,"Mayumi","Hennings","Senior Staff","1985-11-25","9999-01-01",NULL
21157,"Jouko","Demos","Engineer","1993-03-01","1999-03-01",NULL
21157,"Jouko","Demos","Senior Engineer","1999-03-01","9999-01-01",NULL
21161,"Irena","Moffat","Senior Staff","1993-08-10","9999-01-01",NULL
21161,"Irena","Moffat","Staff","1988-08-10","1993-08-10",NULL
21165,"Mingdong","Pfau","Engineer","1986-04-20","1992-04-19",NULL
21165,"Mingdong","Pfau","Senior Engineer","1992-04-19","9999-01-01",NULL
21171,"Emdad","Bressoud","Staff","1998-12-16","9999-01-01",NULL
21192,"Sajjad","Krohm","Engineer","1988-07-06","1996-07-06",NULL
21192,"Sajjad","Krohm","Senior Engineer","1996-07-06","9999-01-01",NULL
21206,"Krisda","Walstra","Assistant Engineer","1985-10-04","1992-10-04",NULL
21206,"Krisda","Walstra","Engineer","1992-10-04","1999-10-05",NULL
21206,"Krisda","Walstra","Senior Engineer","1999-10-05","9999-01-01",NULL
21210,"Yechiam","Gelosh","Technique Leader","1988-02-29","9999-01-01",NULL
21214,"Weiru","Angelov","Engineer","1998-06-10","9999-01-01",NULL
21229,"Vasilis","Collavizza","Engineer","1988-08-15","1994-08-15",NULL
21229,"Vasilis","Collavizza","Senior Engineer","1994-08-15","9999-01-01",NULL
21239,"Krister","Chinin","Senior Staff","1990-01-05","9999-01-01",NULL
21251,"Fatemeh","Riexinger","Engineer","1992-03-05","1999-03-06",NULL
21251,"Fatemeh","Riexinger","Senior Engineer","1999-03-06","9999-01-01",NULL
21255,"Jaewon","Baba","Staff","1998-03-12","9999-01-01",NULL
21275,"Waiman","Suppi","Senior Staff","1995-04-23","9999-01-01",NULL
21275,"Waiman","Suppi","Staff","1988-04-22","1995-04-23",NULL
21288,"Nechama","Wendorf","Engineer","1986-03-18","1994-03-18",NULL
21288,"Nechama","Wendorf","Senior Engineer","1994-03-18","9999-01-01",NULL
21312,"Mani","Bahi","Assistant Engineer","1997-07-18","9999-01-01",NULL
21321,"Laurentiu","Raney","Assistant Engineer","1985-11-06","1990-11-06",NULL
21321,"Laurentiu","Raney","Engineer","1990-11-06","1995-11-06",NULL
21321,"Laurentiu","Raney","Senior Engineer","1995-11-06","9999-01-01",NULL
21336,"Satosi","Veccia","Technique Leader","1986-09-15","9999-01-01",NULL
21347,"Francesca","Ghalwash","Senior Staff","1986-07-04","9999-01-01",NULL
21361,"Shooichi","Lally","Senior Staff","2002-03-16","9999-01-01",NULL
21361,"Shooichi","Lally","Staff","1996-03-16","2002-03-16",NULL
21363,"Katsuyuki","Theuretzbacher","Senior Engineer","1990-10-02","9999-01-01",NULL
21373,"Gonzalo","Awdeh","Engineer","1998-08-08","9999-01-01",NULL
21391,"Zijian","Pagter","Engineer","1987-03-15","1992-03-14",NULL
21391,"Zijian","Pagter","Senior Engineer","1992-03-14","9999-01-01",NULL
21396,"Shaw","Manderick","Senior Engineer","1990-03-27","9999-01-01",NULL
21402,"Guadalupe","Gecsei","Engineer","1993-12-18","1998-12-18",NULL
21402,"Guadalupe","Gecsei","Senior Engineer","1998-12-18","9999-01-01",NULL
21409,"Hongzhu","Yoshimura","Senior Staff","1995-08-10","9999-01-01",NULL
21409,"Hongzhu","Yoshimura","Staff","1987-08-10","1995-08-10",NULL
21413,"Laurentiu","Sherertz","Senior Staff","1985-06-24","9999-01-01",NULL
21421,"Avishai","Yoshizawa","Senior Staff","2001-05-25","9999-01-01",NULL
21421,"Avishai","Yoshizawa","Staff","1993-05-25","2001-05-25",NULL
21432,"Kerhong","Weisert","Senior Staff","2002-03-30","9999-01-01",NULL
21432,"Kerhong","Weisert","Staff","1994-03-30","2002-03-30",NULL
21444,"Caolyn","Cronan","Engineer","1987-11-04","1994-11-04",NULL
21444,"Caolyn","Cronan","Senior Engineer","1994-11-04","9999-01-01",NULL
21454,"Zsolt","Pocchiola","Senior Staff","1991-08-25","9999-01-01",NULL
21454,"Zsolt","Pocchiola","Staff","1985-08-25","1991-08-25",NULL
21470,"Kousuke","Botman","Senior Staff","1993-02-04","9999-01-01",NULL
21470,"Kousuke","Botman","Staff","1985-02-04","1993-02-04",NULL
21479,"Jeane","Kuszyk","Engineer","1988-02-19","1994-02-18",NULL
21479,"Jeane","Kuszyk","Senior Engineer","1994-02-18","9999-01-01",NULL
21505,"Etsuo","Delaune","Engineer","1985-10-25","1991-10-25",NULL
21505,"Etsuo","Delaune","Senior Engineer","1991-10-25","9999-01-01",NULL
21507,"Mansur","Benzmuller","Senior Staff","1985-07-18","9999-01-01",NULL
21512,"Pohua","Gornas","Engineer","1997-01-01","9999-01-01",NULL
21518,"Minghong","Slaats","Senior Staff","1994-12-05","9999-01-01",NULL
21518,"Minghong","Slaats","Staff","1987-12-05","1994-12-05",NULL
21523,"Eldridge","Lores","Engineer","1992-10-02","1998-10-02",NULL
21523,"Eldridge","Lores","Senior Engineer","1998-10-02","9999-01-01",NULL
21527,"DeForest","Yurov","Engineer","1990-01-29","1998-01-29",NULL
21527,"DeForest","Yurov","Senior Engineer","1998-01-29","9999-01-01",NULL
21542,"Miomir","Sherertz","Senior Staff","1995-03-05","9999-01-01",NULL
21547,"Fatemeh","Crooks","Assistant Engineer","1988-05-16","1993-05-16",NULL
21547,"Fatemeh","Crooks","Engineer","1993-05-16","1998-05-16",NULL
21547,"Fatemeh","Crooks","Senior Engineer","1998-05-16","9999-01-01",NULL
21548,"Maren","Gimbel","Assistant Engineer","1988-04-09","1993-04-09",NULL
21548,"Maren","Gimbel","Engineer","1993-04-09","1998-04-09",NULL
21548,"Maren","Gimbel","Senior Engineer","1998-04-09","9999-01-01",NULL
21555,"Uinam","Biron","Engineer","1986-08-31","1993-08-31",NULL
21555,"Uinam","Biron","Senior Engineer","1993-08-31","9999-01-01",NULL
21566,"Angel","Demos","Senior Staff","1988-11-06","9999-01-01",NULL
21580,"Debatosh","Morton","Engineer","1997-03-17","9999-01-01",NULL
21583,"Elliott","Fasbender","Senior Staff","1994-05-27","9999-01-01",NULL
21585,"Shalesh","Gelosh","Engineer","1987-09-07","1995-09-07",NULL
21585,"Shalesh","Gelosh","Senior Engineer","1995-09-07","9999-01-01",NULL
21588,"Licheng","Masamoto","Staff","1998-12-08","9999-01-01",NULL
21609,"Sibyl","Pappas","Senior Staff","1986-06-19","9999-01-01",NULL
21612,"Martial","Bardell","Senior Staff","1997-12-25","9999-01-01",NULL
21612,"Martial","Bardell","Staff","1988-12-25","1997-12-25",NULL
21615,"Shirish","Morrey","Technique Leader","1988-10-28","9999-01-01",NULL
21636,"Munir","Erde","Senior Staff","1990-05-05","9999-01-01",NULL
21636,"Munir","Erde","Staff","1985-05-05","1990-05-05",NULL
21639,"Caolyn","Domenig","Engineer","1985-04-29","1994-04-29",NULL
21639,"Caolyn","Domenig","Senior Engineer","1994-04-29","9999-01-01",NULL
21642,"Shaz","Erman","Engineer","1988-05-20","1997-05-20",NULL
21642,"Shaz","Erman","Senior Engineer","1997-05-20","9999-01-01",NULL
21643,"Yuuichi","Maksimenko","Engineer","1990-04-15","1997-04-15",NULL
21643,"Yuuichi","Maksimenko","Senior Engineer","1997-04-15","9999-01-01",NULL
21646,"Gila","Guardalben","Engineer","1996-03-14","2002-03-14",NULL
21646,"Gila","Guardalben","Senior Engineer","2002-03-14","9999-01-01",NULL
21648,"Mayuko","Fandrianto","Senior Staff","1999-07-06","9999-01-01",NULL
21648,"Mayuko","Fandrianto","Staff","1992-07-05","1999-07-06",NULL
21660,"Kwan","Casperson","Senior Engineer","1998-06-10","9999-01-01",NULL
21663,"Eberhardt","Serra","Technique Leader","1988-08-24","9999-01-01",NULL
21666,"Remzi","Kroon","Engineer","1999-04-14","9999-01-01",NULL
21674,"Kannan","Naumovich","Technique Leader","1986-02-23","9999-01-01",NULL
21675,"Vishu","Genin","Engineer","1997-06-12","9999-01-01",NULL
21677,"Zhensheng","Kavvadias","Senior Staff","1997-10-29","9999-01-01",NULL
21677,"Zhensheng","Kavvadias","Staff","1988-10-30","1997-10-29",NULL
21683,"Jiang","Velasco","Senior Staff","1994-08-10","9999-01-01",NULL
21683,"Jiang","Velasco","Staff","1986-08-10","1994-08-10",NULL
21686,"Kinh","Jansch","Assistant Engineer","1988-10-25","1997-10-25",NULL
21686,"Kinh","Jansch","Engineer","1997-10-25","9999-01-01",NULL
21692,"Reinhard","Hitomi","Engineer","1985-05-16","1993-05-16",NULL
21692,"Reinhard","Hitomi","Senior Engineer","1993-05-16","9999-01-01",NULL
21693,"Palash","Schurmann","Senior Staff","1996-12-30","9999-01-01",NULL
21693,"Palash","Schurmann","Staff","1988-12-30","1996-12-30",NULL
21697,"Billur","Luke","Senior Staff","1992-12-19","9999-01-01",NULL
21697,"Billur","Luke","Staff","1987-12-20","1992-12-19",NULL
21704,"Xiaobin","Chorvat","Assistant Engineer","1991-03-14","2000-03-13",NULL
21704,"Xiaobin","Chorvat","Engineer","2000-03-13","9999-01-01",NULL
21705,"Aleksandar","Luon","Senior Staff","1994-05-20","9999-01-01",NULL
21705,"Aleksandar","Luon","Staff","1987-05-20","1994-05-20",NULL
21708,"Angel","Lichtner","Engineer","1987-07-29","1993-07-28",NULL
21708,"Angel","Lichtner","Senior Engineer","1993-07-28","9999-01-01",NULL
